# id,dateadded,url,url_status,threat,tags,urlhaus_link
155272,2019/3/9 7:21,http://costayres.com/wordpress/wp-content/uploads/218qd-mgtq1f-fyyo.view/,online,malware_download,"emotet,heodo",https://urlhaus.abuse.ch/url/155272/
155271,2019/3/9 7:21,http://114.35.62.34:46230/.i,offline,malware_download,None,https://urlhaus.abuse.ch/url/155271/
155270,2019/3/9 7:14,http://www.wrapmotors.com/wp-includes/oK/,online,malware_download,"emotet,epoch2,heodo",https://urlhaus.abuse.ch/url/155270/
155269,2019/3/9 7:14,http://www.sevensites.es/D1J/,online,malware_download,"emotet,epoch2,heodo",https://urlhaus.abuse.ch/url/155269/
155268,2019/3/9 7:14,http://www.foodandwoodworks.com/wordpress/EGw/,online,malware_download,"emotet,epoch2,heodo",https://urlhaus.abuse.ch/url/155268/
155267,2019/3/9 7:14,http://www.zimerim4u.co.il/cgi-bin/i7I/,online,malware_download,"emotet,epoch2,heodo",https://urlhaus.abuse.ch/url/155267/
155266,2019/3/9 7:13,http://www.batalhademitos.com.br/Producao/IcnW/,online,malware_download,"emotet,epoch1,heodo",https://urlhaus.abuse.ch/url/155266/
155265,2019/3/9 7:13,http://yatcheong.com/ww4w/twz5-qji2p-izxgp.view/,online,malware_download,"emotet,epoch1,heodo",https://urlhaus.abuse.ch/url/155265/
155264,2019/3/9 6:31,http://34.76.156.17/cron,online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155264/
155263,2019/3/9 6:31,http://dev-facebook.redirectme.net/dev/facebook.zip,online,malware_download,zip,https://urlhaus.abuse.ch/url/155263/
155262,2019/3/9 6:21,http://151.80.32.168/sh,online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155262/
155261,2019/3/9 6:21,http://151.80.32.168/[cpu],online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155261/
155260,2019/3/9 6:19,http://151.80.32.168/ftp,online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155260/
155259,2019/3/9 6:19,http://151.80.32.168/bash,online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155259/
155258,2019/3/9 6:19,http://151.80.32.168/ntpd,online,malware_download,"bashlite,elf,gafgyt",https://urlhaus.abuse.ch/url/155258/
